!	משתמש:צלף/!
!	סימן קריאה
!!	!!
!!	תבנית:!!
Gabriela Sabatini	גבריאלה סבטיני
Gabriela Shalev	גבריאלה שלו
Gabriela Silang	גבריאלה סילאנג
Gabriela Spanic	גבריאלה ספניק
Gabriela Szabo	גבריאלה סאבו
Gabriele D'Annunzio	גבריאלה ד'אנונציו
Gabriele Nasci	גבריאלה נאשי
Gabriele Reinsch	גבריאלה ריינש
Gabriele Veneziano	גבריאל ונציאנו
Gabrieli	גבריאלי
Gabriella Cilmi	גבריאלה צ'ילמי
Gabrielle Giffords	גבריאל גיפורדס
Gabriël Metsu	גבריאל מטסו
Gabrovo	גברובו
Gabrovo Province	גברובו
Gabrán mac Domangairt	גאבראן מק דומאנגארט
Gaby Casadesus	גבי קאסאדסי
Gaby Espino	גבי אספינו
Gabès	גאבס
Gabú	גאבו
Gachiani	גאצ'יאני
Gackt	Gackt
Gad	גד
Gad	גד החוזה
Gad Avigad	גד אביגד
Gad Barzilai	גד ברזילי
Gad Beck	גד בק
Gad Elbaz	גד אלבז
Gad Elmaleh	גד אלמלח
Gad Machnes	גד מכנס
Gad Navon	גד נבון
Gad Shimron	גד שמרון
Gad Tedeschi	גד טדסקי
Gad Tsobari	גד צברי
Gad Yaacobi	גד יעקבי
Gadget	גאדג'ט
Gadget	עזרה:גאדג'טים
Gadi Brumer	גדי ברומר
Gadi Eizenkot	גדי איזנקוט
Gadi Kinda	גדי קינדה
Gadi Shamni	גדי שמני
Gadi Taub	גדי טאוב
Gadi V.	user:גדי ו.
Gadi Yatziv	גדי יציב
Gadid	גדיד
Gadidae	קטגוריה:בקליים
Gadiformes	קטגוריה:בקלאים
Gadish	גדיש
Gadna	גדנ"ע
Gadna Tel Aviv Yehuda F.C.	גדנ"ע יהודה
Gadna Tel Aviv Yehuda F.C. players	קטגוריה:כדורגלני גדנ"ע יהודה
Gado-gado	גאדו-גאדו
Gadol	גדול הדור
Gadolinist	פאראמגנטיות
Gadolinite	גדוליניט
Gadolinium	גדוליניום
Gadot	גדות
Gadsar Nahal	חטיבת הנח"ל#סיירת נח"ל
Gadsden	גדסדן
Gadsden Purchase	רכישת גדסדן
Gadsden flag	דגל גדסדן
Gadus	בקלה
Gadwall	ברווז אפור
Gael García Bernal	גאל גרסיה ברנאל
Gael Grunewald	גאל גרינוולד
Gael Margulies	גאל מרגוליס
Gaelic	גאלית
Gaeltacht	גיילטאכט
Gaetano Antoniazzi	גטאנו אנטוניאצי
Gaetano Donizetti	גאטנו דוניצטי
Gaetano Merola	גטאנו מרולה
Gaetano Mosca	גאטנו מוסקה
Gaetano Scirea	גאטאנו שיראה
Gaetano and Pietro Sgarabotto	גאטנו ופייטרו זגאראבוטו
Gaf	گ
Gaffney	גפני
Gafsa	גאפסה
Gag	גג
Gag	מחסום פה
Gag order	איסור פרסום
Gagarin Cup	גביע גגארין
Gagauz language	גגאוזית
Gagauz people	גגאוזים
Gagauzia	גגאוזיה
Gagea	זהבית
Gagik	גאגיק
Gagik of Kakheti	מלך קאחתי גאגיק
Gagny	גני
Gagra	גגרה
Gagra District	גגרה
Gahal	גח"ל
Gahnite	גאהניט
Gai Assulin	גיא אסולין
Gai lan	ברוקולי סיני
Gaia	גאיה
Gaia	טלסקופ החלל גאיה
Gaia Movement	תנועת גאיה
Gaia hypothesis	השערת גאיה
Gail Carson Levine	גייל קרסון לוין
Gail Devers	גייל דיברס
Gail Fisher	גייל פישר
Gail Godwin	גייל גודווין
Gail Goodrich	גייל גודריץ'
Gail Hareven	גיל הראבן
Gail Neall	גייל ניל
Gail Simone	גייל סימון
Gaios	גאיוס
Gaius Antonius	גאיוס אנטוניוס
Gaius Asinius Pollio	גאיוס אסיניוס פוליו
Gaius Asinius Quadratus	אסיניוס קוודראטוס
Gaius Atilius Regulus Serranus	גאיוס אטיליוס רגולוס
Gaius Caesar	גאיוס קיסר
Gaius Cassius Longinus	גאיוס קסיוס לונגינוס
Gaius Claudius Nero	גאיוס קלאודיוס נרו
Gaius Duilius	גאיוס דואיליוס
Gaius Flaminius Nepos	גאיוס פלאמיניוס נפוס
Gaius Gracchus	גאיוס סמפרוניוס גרקכוס
Gaius Julius Quadratus Bassus	גאיוס יוליוס קוודראטוס באסוס
Gaius Julius Solinus	סולינוס
Gaius Livius Salinator	גאיוס ליוויוס סלינטור
Gaius Lucilius	גאיוס לוקיליוס
Gaius Lutatius Catulus	גאיוס לוטאטיוס קאטולוס
Gaius Maecenas	גאיוס קילניוס מאיקנס
Gaius Marcius Coriolanus	גאיוס מרקיוס קוריולאנוס
Gaius Marius	גאיוס מריוס
Gaius Marius the Younger	גאיוס מריוס הבן
Gaius Matius	גאיוס מאטיוס
Gaius Mucius Scaevola	גאיוס מוקיוס סקבולה
Gaius Musonius Rufus	מוסוניוס רופוס
Gaius Oppius	גאיוס אופיוס
Gaius Servilius Ahala	גאיוס סרוויליוס אהלה
Gaius Servilius Geminus	גאיוס סרוויליוס גמינוס
Gaius Servilius Glaucia	גאיוס סרביליוס גלאוקיה
Gaius Sosius	גאיוס סוסיוס
Gaius Sulpicius Paterculus	גאיוס סולפיקיוס פטרקולוס
Gaius Terentius Varro	גאיוס טרנטיוס וארו
Gaius Ummidius Durmius Quadratus	קוואדראטוס
Gaiwan	גייוואן
Gaizka Mendieta	גאיסקה מנדייטה
Gakushūin	גאקושין
Gal Alberman	גל אלברמן
Gal Arel	גל אראל
Gal Barel	גל בראל
Gal Cohen	גל כהן
Gal Costa	גל קוסטה
Gal Fridman	גל פרידמן
Gal Gadot	גל גדות
Gal Mekel	גל מקל
Gal Nevo	גל נבו
Gal Nir	גל ניר
Gal On	גלאון
Gal Shish	גל שיש
Gal Weinstein	גל וינשטיין
Gal Yekutiel	גל יקותיאל
Gal'ed	גלעד
Gal-class submarine	הצוללות מסדרת גל
Gala	גאלה
Gala Galaction	גאלא גאלאקטיון
Galactic Empire	האימפריה הגלקטית
Galactic Penguin SST/sandbox/Space Shuttle	מעבורת חלל
Galactic Republic	הרפובליקה הישנה
Galactic astronomy	אסטרונומיה גלקטית
Galactic quadrant	רביע גלקטי
Galactica 1980	גלקטיקה 1980
Galactose	גלקטוז
Galactus	גלקטוס
Galadriel	גלדריאל
Galaga	גלגה
Galago	גלגויים
Galah	קקדו ורדרד
Galahad	גלהאד
Galaktion Tabidze	גלקטיון טאבידזה
Galam Cennalath	מלך הפיקטים גאלאם קנאלאת'
Galan Erilich	מלך הפיקטים גאלאן
Galangal	גלנגל
Galant music	גאלאנט
Galapagos hawk	עקב גלאפגוס
Galapagos land iguana	איגואנה מצויצת
Galapagos penguin	פינגווין גלאפגוס
Galapagos shark	כריש גלאפגוס
Galata	גלאטה
Galata Bridge	גשר גלאטה
Galata Tower	מגדל גלאטה
Galatasaray S.K.	גלאטסראיי
Galatasaray S.K.	קטגוריה:כדורסלני גלאטסראיי
Galatasaray S.K.	קטגוריה:מאמני גלאטסראיי
Galatasaray S.K. footballers	קטגוריה:כדורגלני גלאטסראיי
Galatea	גלתיאה
Galatia	גלטיה
Galatz	גל"צ
Galaxies	ספר:גלקסיות
Galaxies	קטגוריה:גלקסיות
Galaxy	גלקסי
Galaxy	גלקסיה
Galaxy Zoo	Galaxy Zoo
Galaxy cluster	צביר גלקסיות
Galaxy clusters	קטגוריה:צבירי גלקסיות
Galaxy filament	נימה גלקטית
Galaxy formation and evolution	היווצרות גלקסיות והתפתחותן
Galaxy morphological types	קטגוריה:סוגי גלקסיות
Galaţi County	מחוז גאלאץ
Galați	גאלאץ
Galați	קטגוריה:גאלאץ
Galați County	גאלאץ
Galba	גלבה
Galbanum	חלבנה
Galdhøpiggen	גלדהפיגן
Gale	גייל
Gale	מכתש גייל
Gale Harold	גייל הרולד
Gale Hawthorne	גייל הות'ורן
Gale Wilhelm	גייל וילהלם
Galeazzo Ciano	גליאצו צ'אנו
Galeazzo II Visconti	גלאצו ויסקונטי השני
Galen	קלאודיוס גלנוס
Galena	גלנה
Galeras	גלראס
Galerella	נמייה דקה
Galerie nationale du Jeu de Paume	הגלריה הלאומית ז'ה דה פום
Galeries Lafayette	גאלרי לפאייט
Galerius	גלריוס
Galero	גאלרו
Galette	גאלט
Galgalatz	גלגלצ
Galgo Español	גלגו ספרדי
Gali	גאלי
Gali Atari	גלי עטרי
Galia Sabar	גליה צבר
Galia melon	מלון גליה
Galicia	גליסיה
Galicia	גליציה
Galicia	קטגוריה:גליסיה
Galicia	קטגוריה:גליציה
Galician Jews	יהדות גליציה
Galician language	גליסית
Galictis	גריזון
Galidictis	נמייה מלגשית
Galil ACE	גליל ACE
Galil Ben Shanan	גליל בן שאנן
Galil Jewish–Arab School	בית הספר גליל
Galila Ron-Feder Amit	גלילה רון־פדר-עמית
Galileah	משתמש:Galileah
Galilean moons	הירחים הגליליאניים
Galilean transformation	טרנספורמציית גליליי
Galilee	גלילי
Galilee	הגליל
Galilee	קטגוריה:הגליל
Galilee Panhandle	אצבע הגליל
Galilee Squadron	טייסת הגליל
Galilee Taibe	טייבה
Galilee earthquake of 1837	רעידת האדמה בצפת
Galileo	גלילאו
Galileo	קטגוריה:גלילאו
Galileo Galilei	גלילאו גליליי
Galileo Galilei planetarium	פלנטריום גלילאו גליליי
Galileo thermometer	מדחום גלילאו
Galileo's paradox	הפרדוקס של גלילאו
Galileo's ship	הספינה של גלילאו
Galina Gorokhova	גלינה גורוחובה
Galina Kulakova	גלינה קולקובה
Galina Prozumenshchikova	גלינה פרוזומנשיקובה
Galina Ulanova	גלינה אולנובה
Galina Vishnevskaya	גלינה וישנבסקאיה
Galina Zybina	גלינה זיבינה
Galiot	גאליוט
Galis	גאליס
Galit Chait	גלית חייט
Galit Gutmann	גלית גוטמן
Galit Hasan-Rokem	גלית חזן-רוקם
Galium	דבקה
Gall	גאל
Gall	עפץ
Gall wasp	צרעת העפצים
Galla Gaulo	גאלה גאולו
Galla Placidia	גאלא פלקידיה
Gallagher	גלאגר
Gallatin Range	רכס גאלאטין
Gallaudet University	אוניברסיטת גאלדט
Gallbladder	כיס המרה
Galle	גאלה
Galleass	גליאצה
Gallego	גאייגו
Galleon	גליאון
Galleria Borghese	גלריה בורגזה
Galleria Borghese	קטגוריה:גלריה בורגזה
Galleria Nazionale d'Arte Antica	הגלריה הלאומית האיטלקית לאמנות עתיקה
Galleria Nazionale d'Arte Moderna	הגלריה הלאומית לאמנות מודרנית
Galleria Nazionale dell'Umbria	הגלריה הלאומית של אומבריה
Galleria dell'Accademia	האקדמיה לאמנות של פירנצה
Gallerie dell'Accademia	גלריית האקדמיה
Gallery of country coats of arms	גלריית סמלי מדינות העולם
Gallery of sovereign state flags	גלריית דגלי מדינות העולם
Galley	ספינת משוטים
Galley Slave	המגיה
Gallia	גאליה
Gallia Aquitania	גאליה אקוויטניה
Gallia Belgica	גאליה בלגיקה
Gallia Celtica	גאליה קלטיקה
Gallia Narbonensis	גאליה נארבוננסיס
Galliano	גליאנו
Gallic Empire	האימפריה הגאלית
Gallic Wars	מלחמת גאליה
Gallic Wars	קטגוריה:מלחמת גאליה
Gallic acid	חומצה גאלית
Gallienus	גליאנוס
Galliformes	קטגוריה:תרנגולאים
Galliformes	תרנגולאים
Gallifrey	גאליפריי
Gallimimus	גלימימוס
Gallipoli	גליפולי
Gallipoli Campaign	מערכת גליפולי
Gallium	גליום
Gallium arsenide	גליום ארסניד
Gallium nitride	גליום ניטריד
Gallo-Iberian languages	קטגוריה:שפות גאלו-איבריות
Gallo-Italic languages	קטגוריה:שפות גאלו-איטליות
Gallo-Rhaetian languages	קטגוריה:שפות גאלו-רטיות
Gallo-Romance languages	קטגוריה:שפות גאלו-רומאניות
Galloanserae	קטגוריה:דמויי תרנגול
Gallon	גלון
Gallows	גרדום
Gallstone	אבני כיס מרה
Gallus Anonymus	גאלוס אנונימוס
Gall–Peters projection	היטל גל-פטרס
Galois extension	הרחבת גלואה
Galois group	חבורת גלואה
Galois theory	קטגוריה:תורת גלואה
Galois theory	תורת גלואה
Galois/Counter Mode	GCM
Galop	גאלופ
Galoshes	ערדליים
Galvanic anode	אנודת הקרבה
Galvanometer	גלוונומטר
Galveston	גלווסטון
Galveston Bay	מפרץ גלווסטון
Galway	גולוויי
Galzigler	User:Galzigler
Galápagos	גלפגוס
Galápagos Islands	איי גלאפגוס
Galápagos Islands	קטגוריה:איי גלאפגוס
Galápagos dove	תור גלאפגוס
Galápagos fur seal	דוב ים גלאפגוס
Galápagos mockingbird	חקיין גלאפגוס
Galápagos sea lion	אריה ים גלאפגוס
Galápagos tortoise	צב גלאפגוס
Gamal Abdel Nasser	גמאל עבד אל נאצר
Gamal Mubarak	גמאל מובארכ
Gamal al-Banna	גמאל אל-בנא
Gamalama	גמאלמה
Gamaliel	גמליאל
Gamaliel	רבן גמליאל הזקן
Gamaliel II	רבן גמליאל דיבנה
Gamaliel III	רבן גמליאל ברבי
Gamaliel IV	רבן גמליאל הרביעי
Gamaliel V	רבן גמליאל החמישי
Gamalost	גמלוסט
Gamba Osaka players	קטגוריה:כדורגלני גמבה אוסקה
Gambas	גאמבס
Gambel's quail	שליו גמבל
Gambela Region	גמבלה
Gambela Region	קטגוריה:גמבלה
Gambero Rosso	גמברו רוסו
Gambia River	גמביה
Gambia national basketball team	נבחרת גמביה בכדורסל
Gambia national football team	נבחרת גמביה בכדורגל
Gambian footballers	קטגוריה:כדורגלנים גמביאנים
Gambian mongoose	נמייה מפוספסת גמביאנית
Gambian people	קטגוריה:גמביאנים
Gambian pouched rat	חולדה אוגרת גמביאנית
Gambier Islands	איי גמבייה
Gambit	גמביט
Gambler's fallacy	כשל המהמר
Gambling	הימור
Gambling	קטגוריה:הימורים
Gambling in Macau	הימורים במקאו
Game	משחק
Game & Watch	Game & Watch
Game Boy Advance	Game Boy Advance
Game Boy games	קטגוריה:משחקי גיים בוי
Game Boy line	גיים בוי
Game Center	Game Center
Game Dev Tycoon	Game Dev Tycoon
Game Gear	סגה גיים גיר
Game engine	מנוע גרפי
Game of Chefs	משחקי השף
Game of Death	משחק המוות
Game of Thrones	משחקי הכס
Game of chance	משחק מזל
Game reserves of South Sudan	קטגוריה:דרום סודאן: שמורות ציד
Game server	שרת משחק
Game show	שעשועון
Game shows	קטגוריה:שעשועוני טלוויזיה
Game studies	לודולוגיה
Game templates	קטגוריה:תבניות ניווט - משחקים
Game theorists	קטגוריה:חוקרי תורת המשחקים
Game theory	קטגוריה:תורת המשחקים
Game theory	תורת המשחקים
Game tree	עץ משחק
Game try	Game trial bid
Game user templates	קטגוריה:ויקיפדיה - משתמש - משחקים
GameCube	Nintendo GameCube
GameSpot	GameSpot
GameSpy	GameSpy
Gamebook	ספר משחק
Gamelan	גמלאן
Gameloft	Gameloft
Gamer	גיימר
Games	פורטל:משחקים
Games	קטגוריה:משחקים
Games of chance	קטגוריה:משחקי מזל
Games of mental skill	קטגוריה:משחקי חשיבה
Games on Sega platforms	קטגוריה:משחקי סגה
Gamete	תא רבייה
Gametophyte	גמטופיט
Gamification	משחוק
Gaming the system	כיפוף הכללים
Gamla	גמלא
Gamla nature reserve	גמלא
Gamliel Cohen	גמליאל כהן
Gamma	גמא
Gamma Crucis	גקרוקס
Gamma Geminorum	אלהנה
Gamma Leonis	אלגיבה
Gamma Ursae Majoris	פקדא
Gamma Velorum	רגור
Gamma distribution	התפלגות גמא
Gamma function	פונקציית גמא
Gamma matrices	מטריצות גאמה של דיראק
Gamma ray	קרינת גמא
Gamma-Aminobutyric acid	GABA
Gamma-Hydroxybutyric acid	GHB
Gamma-ray burst	התפרצות גמא
Gamma-ray bursts	קטגוריה:התפרצויות גמא
Gammelstaden	גמלסטד
Gamora	גאמורה
Gamprin	גמפרין
Gamsakhurdia	גמסחורדיה
Gamu-Gofa	גמו גופה
Gamzigrad	ארמון גלריוס בגמיזגראד
Gan HaDarom	גן הדרום
Gan HaEm	גן האם
Gan HaShlosha National Park	גן השלושה
Gan HaShomron	גן השומרון
Gan Haim	גן חיים
Gan Ner	גן נר
Gan Ner Sports Hall	היכל הספורט גן נר
Gan Or	גן אור
Gan Raveh Regional Council	מועצה אזורית גן רווה
Gan Raveh Regional Council	קטגוריה:מועצה אזורית גן רווה
Gan Raveh Regional Council	תבנית:מועצה אזורית גן רווה
Gan River	גאן
Gan Shmuel	גן שמואל
Gan Sorek	גן שורק
Gan Yavne	גן יבנה
Gan Yoshiya	גן יאשיה
Ganache	גנאש
Ganciclovir	גנציקלוביר
